,target,target_country,source,source_country,fee,fee_cleaned,season,transfer_period
13951,Manchester United,England,Sunderland AFC,England,"End of loanMay 31, 2017",,2016/2017,Summer
13952,Southampton FC,England,LOSC Lille,France,€18.70m,18.7,2016/2017,Summer
13953,Southampton FC,England,Bayern Munich,Germany,€15.00m,15.0,2016/2017,Summer
13954,Southampton FC,England,Crystal Palace,England,€4.70m,4.7,2016/2017,Summer
13955,Southampton FC,England,OGC Nice,France,free transfer,0.0,2016/2017,Summer
13956,West Ham United,England,Swansea City,England,€24.10m,24.1,2016/2017,Summer
13957,West Ham United,England,Juventus FC,Italy,Loan fee:€5.00m,5.0,2016/2017,Summer
13958,West Ham United,England,Borussia Mönchengladbach,Germany,free transfer,0.0,2016/2017,Summer
13959,West Ham United,England,Real Madrid,Spain,free transfer,0.0,2016/2017,Summer
13960,West Ham United,England,Valencia CF,Spain,free transfer,0.0,2016/2017,Summer
13961,West Ham United,England,Everton FC,England,"End of loanMay 31, 2017",,2016/2017,Summer
13962,Liverpool FC,England,Southampton FC,England,€41.20m,41.2,2016/2017,Summer
13963,Liverpool FC,England,1.FSV Mainz 05,Germany,€6.20m,6.2,2016/2017,Summer
13964,Liverpool FC,England,FC Augsburg,Germany,€5.00m,5.0,2016/2017,Summer
13965,Liverpool FC,England,FC Schalke 04,Germany,free transfer,0.0,2016/2017,Summer
13966,Liverpool FC,England,FC Augsburg,Germany,free transfer,0.0,2016/2017,Summer
13967,Liverpool FC,England,Crystal Palace,England,"End of loanMay 31, 2017",,2016/2017,Summer
13968,Liverpool FC,England,Hull City,England,"End of loanMay 31, 2017",,2016/2017,Summer
13969,Liverpool FC,England,Deportivo de La Coruña,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
13970,Liverpool FC,England,Burnley FC,England,"End of loanMay 31, 2017",,2016/2017,Summer
13971,Liverpool FC,England,AC Milan,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
13972,Stoke City,England,Liverpool FC,England,€15.50m,15.5,2016/2017,Summer
13973,Stoke City,England,Manchester City,England,Loan fee:€2.35m,2.35,2016/2017,Summer
13974,Stoke City,England,FC Porto,Portugal,loan transfer,,2016/2017,Summer
13975,Chelsea FC,England,Olympique Marseille,France,€39.00m,39.0,2016/2017,Summer
13976,Chelsea FC,England,Leicester City,England,€35.80m,35.8,2016/2017,Summer
13977,Chelsea FC,England,Paris Saint-Germain,France,€35.00m,35.0,2016/2017,Summer
13978,Chelsea FC,England,AC Fiorentina,Italy,€23.00m,23.0,2016/2017,Summer
13979,Chelsea FC,England,Udinese Calcio,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
13980,Chelsea FC,England,Crystal Palace,England,"End of loanMay 31, 2017",,2016/2017,Summer
13981,Chelsea FC,England,AS Monaco,France,"End of loanJun 30, 2016",,2016/2017,Summer
13982,Chelsea FC,England,Vitesse Arnhem,Netherlands,"End of loanJun 30, 2016",,2016/2017,Summer
13983,Chelsea FC,England,NEC Nijmegen,Netherlands,"End of loanJun 30, 2016",,2016/2017,Summer
13984,Chelsea FC,England,AS Roma,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
13985,Chelsea FC,England,Juventus FC,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
13986,Chelsea FC,England,SSC Napoli,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
13987,Chelsea FC,England,SV Werder Bremen,Germany,"End of loanJun 30, 2016",,2016/2017,Summer
13988,Chelsea FC,England,Málaga CF,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
13989,Chelsea FC,England,PSV Eindhoven,Netherlands,"End of loanJun 30, 2016",,2016/2017,Summer
13990,Everton FC,England,Crystal Palace,England,€28.90m,28.9,2016/2017,Summer
13991,Everton FC,England,Swansea City,England,€14.00m,14.0,2016/2017,Summer
13992,Everton FC,England,West Ham United,England,loan transfer,,2016/2017,Summer
13993,Everton FC,England,Hull City,England,"End of loanMay 31, 2017",,2016/2017,Summer
13994,Swansea City,England,Atlético de Madrid,Spain,€18.00m,18.0,2016/2017,Summer
13995,Swansea City,England,Sevilla FC,Spain,€5.90m,5.9,2016/2017,Summer
13996,Swansea City,England,Ajax Amsterdam,Netherlands,€2.50m,2.5,2016/2017,Summer
13997,Swansea City,England,AS Saint-Étienne,France,"End of loanJun 30, 2016",,2016/2017,Summer
13998,Swansea City,England,LOSC Lille,France,"End of loanJun 30, 2016",,2016/2017,Summer
13999,Swansea City,England,SV Werder Bremen,Germany,"End of loanJun 30, 2016",,2016/2017,Summer
14000,Watford FC,England,Granada CF,Spain,€15.00m,15.0,2016/2017,Summer
14001,Watford FC,England,Juventus FC,Italy,€13.50m,13.5,2016/2017,Summer
14002,Watford FC,England,Sunderland AFC,England,€4.00m,4.0,2016/2017,Summer
14003,Watford FC,England,Olympique Marseille,France,€3.60m,3.6,2016/2017,Summer
14004,Watford FC,England,Crystal Palace,England,free transfer,0.0,2016/2017,Summer
14005,Watford FC,England,Udinese Calcio,Italy,free transfer,0.0,2016/2017,Summer
14006,Watford FC,England,Chelsea FC,England,loan transfer,,2016/2017,Summer
14007,Watford FC,England,SSC Napoli,Italy,loan transfer,,2016/2017,Summer
14008,Watford FC,England,Deportivo de La Coruña,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
14009,Watford FC,England,Granada CF,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
14010,Watford FC,England,Granada CF,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
14011,Watford FC,England,RCD Espanyol Barcelona,Spain,"End of loanJun 30, 2016",,2016/2017,Summer
14012,Watford FC,England,FC Porto,Portugal,"End of loanJun 30, 2016",,2016/2017,Summer
14013,West Bromwich Albion,England,Tottenham Hotspur,England,€15.20m,15.2,2016/2017,Summer
14014,West Bromwich Albion,England,Watford FC,England,€4.70m,4.7,2016/2017,Summer
14015,West Bromwich Albion,England,Everton FC,England,loan transfer,,2016/2017,Summer
14016,Crystal Palace,England,Liverpool FC,England,€31.20m,31.2,2016/2017,Summer
14017,Crystal Palace,England,West Ham United,England,€11.70m,11.7,2016/2017,Summer
14018,Crystal Palace,England,Chelsea FC,England,Loan fee:€1.00m,1.0,2016/2017,Summer
14019,Crystal Palace,England,Olympique Marseille,France,free transfer,0.0,2016/2017,Summer
14020,AFC Bournemouth,England,Liverpool FC,England,€18.00m,18.0,2016/2017,Summer
14021,AFC Bournemouth,England,Liverpool FC,England,€3.60m,3.6,2016/2017,Summer
14022,AFC Bournemouth,England,Arsenal FC,England,Loan fee:€2.35m,2.35,2016/2017,Summer
14023,AFC Bournemouth,England,Stoke City,England,€2.30m,2.3,2016/2017,Summer
14024,AFC Bournemouth,England,Chelsea FC,England,loan transfer,,2016/2017,Summer
14025,AFC Bournemouth,England,West Bromwich Albion,England,"End of loanMay 31, 2017",,2016/2017,Summer
14026,Sunderland AFC,England,FC Lorient,France,€20.00m,20.0,2016/2017,Summer
14027,Sunderland AFC,England,Chelsea FC,England,€9.50m,9.5,2016/2017,Summer
14028,Sunderland AFC,England,Manchester United,England,€5.25m,5.25,2016/2017,Summer
14029,Sunderland AFC,England,Boavista FC,Portugal,€1.50m,1.5,2016/2017,Summer
14030,Sunderland AFC,England,Everton FC,England,free transfer,0.0,2016/2017,Summer
14031,Sunderland AFC,England,Atlético de Madrid,Spain,loan transfer,,2016/2017,Summer
14032,Sunderland AFC,England,Manchester United,England,loan transfer,,2016/2017,Summer
14033,Sunderland AFC,England,Manchester City,England,loan transfer,,2016/2017,Summer
14034,Sunderland AFC,England,Bologna FC 1909,Italy,"End of loanJun 30, 2016",,2016/2017,Summer
14035,Sunderland AFC,England,Olympique Marseille,France,"End of loanJun 30, 2016",,2016/2017,Summer
14036,Burnley FC,England,Liverpool FC,England,loan transfer,,2016/2017,Summer
14037,Burnley FC,England,Chelsea FC,England,loan transfer,,2016/2017,Summer
14038,Middlesbrough FC,England,Atalanta BC,Italy,€10.50m,10.5,2016/2017,Summer
14039,Middlesbrough FC,England,Ajax Amsterdam,Netherlands,€5.00m,5.0,2016/2017,Summer
14040,Middlesbrough FC,England,Valencia CF,Spain,€2.70m,2.7,2016/2017,Summer
14041,Middlesbrough FC,England,Sporting Gijón,Spain,free transfer,0.0,2016/2017,Summer
14042,Middlesbrough FC,England,Manchester United,England,free transfer,0.0,2016/2017,Summer
14043,Middlesbrough FC,England,Southampton FC,England,free transfer,0.0,2016/2017,Summer
14044,Middlesbrough FC,England,Valencia CF,Spain,loan transfer,,2016/2017,Summer
14045,Middlesbrough FC,England,Arsenal FC,England,loan transfer,,2016/2017,Summer
14046,Hull City,England,Tottenham Hotspur,England,€15.40m,15.4,2016/2017,Summer
14047,Hull City,England,Manchester United,England,€1.20m,1.2,2016/2017,Summer
14048,Hull City,England,AZ Alkmaar,Netherlands,loan transfer,,2016/2017,Summer
14049,Leicester City,England,Granada CF,Spain,loan transfer,,2016/2017,Winter
14050,Manchester City,England,Inter Milan,Italy,"End of loanJan 2, 2017",,2016/2017,Winter
14051,Manchester City,England,Real Sociedad,Spain,"End of loanDec 31, 2016",,2016/2017,Winter
14052,Southampton FC,England,SSC Napoli,Italy,€17.00m,17.0,2016/2017,Winter
14053,Southampton FC,England,OGC Nice,France,loan transfer,,2016/2017,Winter
14054,West Ham United,England,Hull City,England,€12.00m,12.0,2016/2017,Winter
14055,West Ham United,England,Southampton FC,England,€9.20m,9.2,2016/2017,Winter
14056,Liverpool FC,England,Sporting CP,Portugal,"End of loanJan 22, 2017",,2016/2017,Winter
14057,Stoke City,England,West Bromwich Albion,England,€13.90m,13.9,2016/2017,Winter
14058,Chelsea FC,England,AFC Bournemouth,England,"End of loanJan 8, 2017",,2016/2017,Winter
14059,Chelsea FC,England,Burnley FC,England,"End of loanJan 14, 2017",,2016/2017,Winter
14060,Chelsea FC,England,Watford FC,England,"End of loanDec 12, 2016",,2016/2017,Winter
14061,Everton FC,England,Manchester United,England,€23.00m,23.0,2016/2017,Winter
14062,Everton FC,England,West Bromwich Albion,England,"End of loanApr 9, 2017",,2016/2017,Winter
14063,Swansea City,England,Tottenham Hotspur,England,€5.20m,5.2,2016/2017,Winter
14064,Swansea City,England,PSV Eindhoven,Netherlands,€4.60m,4.6,2016/2017,Winter
14065,Watford FC,England,AC Fiorentina,Italy,€2.75m,2.75,2016/2017,Winter
14066,Watford FC,England,AC Milan,Italy,Loan fee:€750Th.,0.75,2016/2017,Winter
14067,Watford FC,England,Everton FC,England,loan transfer,,2016/2017,Winter
14068,Watford FC,England,Udinese Calcio,Italy,"End of loanJan 3, 2017",,2016/2017,Winter
14069,West Bromwich Albion,England,Hull City,England,€11.50m,11.5,2016/2017,Winter
14070,West Bromwich Albion,England,AFC Bournemouth,England,loan transfer,,2016/2017,Winter
14071,Crystal Palace,England,Leicester City,England,€13.80m,13.8,2016/2017,Winter
14072,Crystal Palace,England,Sunderland AFC,England,€10.50m,10.5,2016/2017,Winter
14073,Crystal Palace,England,Liverpool FC,England,Loan fee:€2.30m,2.3,2016/2017,Winter
14074,Sunderland AFC,England,Everton FC,England,€2.50m,2.5,2016/2017,Winter
14075,Sunderland AFC,England,Everton FC,England,€2.00m,2.0,2016/2017,Winter
14076,Sunderland AFC,England,Sporting CP,Portugal,"End of loanFeb 1, 2017",,2016/2017,Winter
14077,Middlesbrough FC,England,Chelsea FC,England,€6.90m,6.9,2016/2017,Winter
14078,Middlesbrough FC,England,Watford FC,England,€5.20m,5.2,2016/2017,Winter
14079,Hull City,England,Stade Rennais FC,France,€9.00m,9.0,2016/2017,Winter
14080,Hull City,England,AZ Alkmaar,Netherlands,€5.30m,5.3,2016/2017,Winter
14081,Hull City,England,FC Porto,Portugal,€2.50m,2.5,2016/2017,Winter
14082,Hull City,England,Inter Milan,Italy,Loan fee:€1.30m,1.3,2016/2017,Winter
14083,Hull City,England,Liverpool FC,England,loan transfer,,2016/2017,Winter
14084,Hull City,England,Everton FC,England,loan transfer,,2016/2017,Winter
14085,Hull City,England,Villarreal CF,Spain,loan transfer,,2016/2017,Winter
14086,Chelsea FC,England,Real Madrid,Spain,€66.00m,66.0,2017/2018,Summer
14087,Chelsea FC,England,AS Monaco,France,€40.00m,40.0,2017/2018,Summer
14088,Chelsea FC,England,Leicester City,England,€37.90m,37.9,2017/2018,Summer
14089,Chelsea FC,England,AS Roma,Italy,€35.00m,35.0,2017/2018,Summer
14090,Chelsea FC,England,Torino FC,Italy,€25.00m,25.0,2017/2018,Summer
14091,Chelsea FC,England,Manchester City,England,free transfer,0.0,2017/2018,Summer
14092,Chelsea FC,England,AC Milan,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14093,Chelsea FC,England,Borussia Mönchengladbach,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14094,Chelsea FC,England,Vitesse Arnhem,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14095,Chelsea FC,England,FC Schalke 04,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14096,Chelsea FC,England,Ajax Amsterdam,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14097,Chelsea FC,England,Excelsior Rotterdam,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14098,Chelsea FC,England,Eintracht Frankfurt,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14099,Chelsea FC,England,Crystal Palace,England,"End of loanMay 31, 2018",,2017/2018,Summer
14100,Chelsea FC,England,Juventus FC,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14101,Chelsea FC,England,Newcastle United,England,"End of loanJun 30, 2017",,2017/2018,Summer
14102,Chelsea FC,England,Swansea City,England,"End of loanMay 31, 2018",,2017/2018,Summer
14103,Chelsea FC,England,Stoke City,England,"End of loanMay 31, 2018",,2017/2018,Summer
14104,Chelsea FC,England,Vitesse Arnhem,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14105,Tottenham Hotspur,England,Ajax Amsterdam,Netherlands,€42.00m,42.0,2017/2018,Summer
14106,Tottenham Hotspur,England,Paris Saint-Germain,France,€25.00m,25.0,2017/2018,Summer
14107,Tottenham Hotspur,England,Swansea City,England,€15.10m,15.1,2017/2018,Summer
14108,Tottenham Hotspur,England,Southampton FC,England,?,,2017/2018,Summer
14109,Tottenham Hotspur,England,Burnley FC,England,"End of loanMay 31, 2018",,2017/2018,Summer
14110,Tottenham Hotspur,England,AS Roma,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14111,Tottenham Hotspur,England,Olympique Marseille,France,"End of loanJun 30, 2017",,2017/2018,Summer
14112,Tottenham Hotspur,England,FC Schalke 04,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14113,Manchester City,England,AS Monaco,France,€57.50m,57.5,2017/2018,Summer
14114,Manchester City,England,Tottenham Hotspur,England,€52.70m,52.7,2017/2018,Summer
14115,Manchester City,England,AS Monaco,France,€50.00m,50.0,2017/2018,Summer
14116,Manchester City,England,SL Benfica,Portugal,€40.00m,40.0,2017/2018,Summer
14117,Manchester City,England,Real Madrid,Spain,€30.00m,30.0,2017/2018,Summer
14118,Manchester City,England,PSV Eindhoven,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14119,Manchester City,England,Deportivo Alavés,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14120,Manchester City,England,Everton FC,England,"End of loanMay 31, 2018",,2017/2018,Summer
14121,Manchester City,England,Twente Enschede FC,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14122,Manchester City,England,Deportivo de La Coruña,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14123,Manchester City,England,Girona FC,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14124,Manchester City,England,Twente Enschede FC,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14125,Manchester City,England,West Ham United,England,"End of loanMay 31, 2018",,2017/2018,Summer
14126,Manchester City,England,Torino FC,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14127,Manchester City,England,Sevilla FC,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14128,Manchester City,England,Valencia CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14129,Manchester City,England,Girona FC,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14130,Manchester City,England,Hellas Verona,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14131,Liverpool FC,England,AS Roma,Italy,€42.00m,42.0,2017/2018,Summer
14132,Liverpool FC,England,Arsenal FC,England,€38.00m,38.0,2017/2018,Summer
14133,Liverpool FC,England,West Bromwich Albion,England,"End of loanMay 31, 2018",,2017/2018,Summer
14134,Arsenal FC,England,Olympique Lyon,France,€53.00m,53.0,2017/2018,Summer
14135,Arsenal FC,England,FC Schalke 04,Germany,free transfer,0.0,2017/2018,Summer
14136,Arsenal FC,England,AS Roma,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14137,Arsenal FC,England,Sporting CP,Portugal,"End of loanJun 30, 2017",,2017/2018,Summer
14138,Manchester United,England,Everton FC,England,€84.70m,84.7,2017/2018,Summer
14139,Manchester United,England,Chelsea FC,England,€44.70m,44.7,2017/2018,Summer
14140,Manchester United,England,SL Benfica,Portugal,€35.00m,35.0,2017/2018,Summer
14141,Manchester United,England,Eintracht Frankfurt,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14142,Manchester United,England,Crystal Palace,England,"End of loanMay 31, 2018",,2017/2018,Summer
14143,Everton FC,England,Swansea City,England,€49.40m,49.4,2017/2018,Summer
14144,Everton FC,England,Burnley FC,England,€28.50m,28.5,2017/2018,Summer
14145,Everton FC,England,Ajax Amsterdam,Netherlands,€27.00m,27.0,2017/2018,Summer
14146,Everton FC,England,Málaga CF,Spain,€6.00m,6.0,2017/2018,Summer
14147,Everton FC,England,Southampton FC,England,free transfer,0.0,2017/2018,Summer
14148,Everton FC,England,Manchester United,England,free transfer,0.0,2017/2018,Summer
14149,Everton FC,England,AC Milan,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14150,Everton FC,England,Watford FC,England,"End of loanJun 30, 2017",,2017/2018,Summer
14151,Everton FC,England,Eintracht Frankfurt,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14152,Southampton FC,England,Juventus FC,Italy,€17.25m,17.25,2017/2018,Summer
14153,Southampton FC,England,SS Lazio,Italy,€16.00m,16.0,2017/2018,Summer
14154,AFC Bournemouth,England,Chelsea FC,England,€22.80m,22.8,2017/2018,Summer
14155,AFC Bournemouth,England,Chelsea FC,England,€11.50m,11.5,2017/2018,Summer
14156,West Bromwich Albion,England,RB Leipzig,Germany,€15.20m,15.2,2017/2018,Summer
14157,West Bromwich Albion,England,Southampton FC,England,€13.70m,13.7,2017/2018,Summer
14158,West Bromwich Albion,England,Arsenal FC,England,€7.50m,7.5,2017/2018,Summer
14159,West Bromwich Albion,England,Vitesse Arnhem,Netherlands,€7.20m,7.2,2017/2018,Summer
14160,West Bromwich Albion,England,Everton FC,England,€1.10m,1.1,2017/2018,Summer
14161,West Bromwich Albion,England,Paris Saint-Germain,France,loan transfer,,2017/2018,Summer
14162,West Ham United,England,Stoke City,England,€22.30m,22.3,2017/2018,Summer
14163,West Ham United,England,Bayer 04 Leverkusen,Germany,€17.80m,17.8,2017/2018,Summer
14164,West Ham United,England,Manchester City,England,Loan fee:€2.30m,2.3,2017/2018,Summer
14165,West Ham United,England,Manchester City,England,free transfer,0.0,2017/2018,Summer
14166,Leicester City,England,Manchester City,England,€27.70m,27.7,2017/2018,Summer
14167,Leicester City,England,Sporting CP,Portugal,€20.50m,20.5,2017/2018,Summer
14168,Leicester City,England,Sevilla FC,Spain,€15.00m,15.0,2017/2018,Summer
14169,Leicester City,England,Bayer 04 Leverkusen,Germany,Loan fee:€2.50m,2.5,2017/2018,Summer
14170,Leicester City,England,Swansea City,England,"End of loanMay 31, 2018",,2017/2018,Summer
14171,Leicester City,England,Newcastle United,England,"End of loanMay 31, 2018",,2017/2018,Summer
14172,Leicester City,England,Brighton & Hove Albion,England,"End of loanMay 31, 2018",,2017/2018,Summer
14173,Stoke City,England,Tottenham Hotspur,England,€19.40m,19.4,2017/2018,Summer
14174,Stoke City,England,Chelsea FC,England,Loan fee:€7.80m,7.8,2017/2018,Summer
14175,Stoke City,England,FC Porto,Portugal,€7.70m,7.7,2017/2018,Summer
14176,Stoke City,England,FC Schalke 04,Germany,free transfer,0.0,2017/2018,Summer
14177,Stoke City,England,West Bromwich Albion,England,free transfer,0.0,2017/2018,Summer
14178,Stoke City,England,Paris Saint-Germain,France,loan transfer,,2017/2018,Summer
14179,Stoke City,England,1.FSV Mainz 05,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14180,Stoke City,England,Deportivo de La Coruña,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14181,Stoke City,England,VfL Wolfsburg,Germany,"End of loanJun 30, 2017",,2017/2018,Summer
14182,Crystal Palace,England,Liverpool FC,England,€28.20m,28.2,2017/2018,Summer
14183,Crystal Palace,England,Ajax Amsterdam,Netherlands,€9.00m,9.0,2017/2018,Summer
14184,Crystal Palace,England,Chelsea FC,England,loan transfer,,2017/2018,Summer
14185,Crystal Palace,England,Manchester United,England,loan transfer,,2017/2018,Summer
14186,Swansea City,England,Manchester City,England,€13.00m,13.0,2017/2018,Summer
14187,Swansea City,England,UD Las Palmas,Spain,€12.50m,12.5,2017/2018,Summer
14188,Swansea City,England,Bayern Munich,Germany,Loan fee:€8.50m,8.5,2017/2018,Summer
14189,Swansea City,England,SC Heerenveen,Netherlands,free transfer,0.0,2017/2018,Summer
14190,Swansea City,England,Chelsea FC,England,loan transfer,,2017/2018,Summer
14191,Swansea City,England,Olympique Marseille,France,"End of loanJun 30, 2017",,2017/2018,Summer
14192,Burnley FC,England,Swansea City,England,€9.10m,9.1,2017/2018,Summer
14193,Burnley FC,England,Huddersfield Town,England,€5.40m,5.4,2017/2018,Summer
14194,Burnley FC,England,Stoke City,England,€2.30m,2.3,2017/2018,Summer
14195,Burnley FC,England,Stoke City,England,€840Th.,0.84,2017/2018,Summer
14196,Watford FC,England,Burnley FC,England,€20.40m,20.4,2017/2018,Summer
14197,Watford FC,England,Everton FC,England,€9.30m,9.3,2017/2018,Summer
14198,Watford FC,England,Chelsea FC,England,€6.30m,6.3,2017/2018,Summer
14199,Watford FC,England,Sporting CP,Portugal,€3.00m,3.0,2017/2018,Summer
14200,Watford FC,England,SL Benfica,Portugal,Loan fee:€1.00m,1.0,2017/2018,Summer
14201,Watford FC,England,Deportivo Alavés,Spain,free transfer,0.0,2017/2018,Summer
14202,Watford FC,England,Stoke City,England,free transfer,0.0,2017/2018,Summer
14203,Watford FC,England,Udinese Calcio,Italy,loan transfer,,2017/2018,Summer
14204,Watford FC,England,Udinese Calcio,Italy,?,,2017/2018,Summer
14205,Watford FC,England,Udinese Calcio,Italy,loan transfer,,2017/2018,Summer
14206,Watford FC,England,Deportivo de La Coruña,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14207,Watford FC,England,Feyenoord Rotterdam,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14208,Watford FC,England,Valencia CF,Spain,"End of loanJun 30, 2017",,2017/2018,Summer
14209,Watford FC,England,Udinese Calcio,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14210,Watford FC,England,Udinese Calcio,Italy,"End of loanJun 30, 2017",,2017/2018,Summer
14211,Newcastle United,England,SD Eibar,Spain,€10.00m,10.0,2017/2018,Summer
14212,Newcastle United,England,Chelsea FC,England,€7.50m,7.5,2017/2018,Summer
14213,Newcastle United,England,Stoke City,England,€5.50m,5.5,2017/2018,Summer
14214,Newcastle United,England,Atlético de Madrid,Spain,€5.00m,5.0,2017/2018,Summer
14215,Newcastle United,England,Borussia Dortmund,Germany,Loan fee:€3.00m,3.0,2017/2018,Summer
14216,Newcastle United,England,Olympique Marseille,France,"End of loanJun 30, 2017",,2017/2018,Summer
14217,Newcastle United,England,Brighton & Hove Albion,England,"End of loanSep 19, 2017",,2017/2018,Summer
14218,Newcastle United,England,AZ Alkmaar,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14219,Newcastle United,England,AS Saint-Étienne,France,"End of loanJun 30, 2017",,2017/2018,Summer
14220,Newcastle United,England,PSV Eindhoven,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14221,Brighton & Hove Albion,England,PSV Eindhoven,Netherlands,€13.00m,13.0,2017/2018,Summer
14222,Brighton & Hove Albion,England,Valencia CF,Spain,€6.00m,6.0,2017/2018,Summer
14223,Brighton & Hove Albion,England,Sporting CP,Portugal,€3.00m,3.0,2017/2018,Summer
14224,Brighton & Hove Albion,England,Newcastle United,England,free transfer,0.0,2017/2018,Summer
14225,Brighton & Hove Albion,England,Newcastle United,England,loan transfer,,2017/2018,Summer
14226,Huddersfield Town,England,Montpellier HSC,France,€13.00m,13.0,2017/2018,Summer
14227,Huddersfield Town,England,Manchester City,England,€9.10m,9.1,2017/2018,Summer
14228,Huddersfield Town,England,FC Porto,Portugal,€3.80m,3.8,2017/2018,Summer
14229,Huddersfield Town,England,1.FSV Mainz 05,Germany,loan transfer,,2017/2018,Summer
14230,Huddersfield Town,England,FC Groningen,Netherlands,"End of loanJun 30, 2017",,2017/2018,Summer
14231,Chelsea FC,England,AS Roma,Italy,€20.00m,20.0,2017/2018,Winter
14232,Chelsea FC,England,Arsenal FC,England,€17.00m,17.0,2017/2018,Winter
14233,Chelsea FC,England,Everton FC,England,€16.80m,16.8,2017/2018,Winter
14234,Chelsea FC,England,FC Groningen,Netherlands,"End of loanJan 30, 2018",,2017/2018,Winter
14235,Chelsea FC,England,Amiens SC,France,"End of loanDec 31, 2017",,2017/2018,Winter
14236,Tottenham Hotspur,England,Paris Saint-Germain,France,€28.40m,28.4,2017/2018,Winter
14237,Manchester City,England,Athletic Bilbao,Spain,€65.00m,65.0,2017/2018,Winter
14238,Manchester City,England,Girona FC,Spain,"End of loanJan 31, 2018",,2017/2018,Winter
14239,Manchester City,England,Girona FC,Spain,"End of loanJan 15, 2018",,2017/2018,Winter
14240,Liverpool FC,England,Southampton FC,England,€84.65m,84.65,2017/2018,Winter
14241,Arsenal FC,England,Borussia Dortmund,Germany,€63.75m,63.75,2017/2018,Winter
14242,Arsenal FC,England,Manchester United,England,€34.00m,34.0,2017/2018,Winter
14243,Manchester United,England,Arsenal FC,England,€34.00m,34.0,2017/2018,Winter
14244,Everton FC,England,Arsenal FC,England,€22.50m,22.5,2017/2018,Winter
14245,Everton FC,England,Manchester City,England,loan transfer,,2017/2018,Winter
14246,Southampton FC,England,AS Monaco,France,€22.00m,22.0,2017/2018,Winter
14247,West Bromwich Albion,England,Liverpool FC,England,Loan fee:€2.30m,2.3,2017/2018,Winter
14248,West Ham United,England,Inter Milan,Italy,Loan fee:€1.20m,1.2,2017/2018,Winter
14249,West Ham United,England,Borussia Mönchengladbach,Germany,"End of loanDec 31, 2017",,2017/2018,Winter
14250,Stoke City,England,Rubin Kazan,Russia,€6.20m,6.2,2017/2018,Winter
14251,Stoke City,England,FC Augsburg,Germany,Loan fee:€600Th.,0.6,2017/2018,Winter
14252,Crystal Palace,England,SL Benfica,Portugal,loan transfer,,2017/2018,Winter
14253,Swansea City,England,West Ham United,England,€22.80m,22.8,2017/2018,Winter
14254,Swansea City,England,Leicester City,England,loan transfer,,2017/2018,Winter
14255,Burnley FC,England,Everton FC,England,€1.70m,1.7,2017/2018,Winter
14256,Burnley FC,England,Tottenham Hotspur,England,loan transfer,,2017/2018,Winter
14257,Watford FC,England,FC Barcelona,Spain,Loan fee:€1.00m,1.0,2017/2018,Winter
14258,Watford FC,England,Deportivo de La Coruña,Spain,"End of loanJan 30, 2018",,2017/2018,Winter
14259,Newcastle United,England,Leicester City,England,Loan fee:€2.20m,2.2,2017/2018,Winter
